fname,fprod,pi_name,s_site,l_area,date,team,drone_v,rgb_v,ms_v,f_start,f_stop,f_alt,f_spd,f_flap,f_slap,wx,proc,klau,klau_base,flag
Deegan_DouglasCreek_250704,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_DouglasCreek_250704\1_Products""",Linda Deegan,Douglas Creek,Coldfoot Area,250704,RF JN AC,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,11:29,11:40,110,5,80,80,sunny,Rd,TRUE,AB33,25cm klau and 9m below pgc
Deegan_DouglasCreek_250802,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_DouglasCreek_250802\1_Products""",Linda Deegan,Douglas Creek,Coldfoot Area,250802,Rd AC RF JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,12:40,13:19,100,5.1,80,80,sunny,Rd,TRUE,AB33,25cm klau and 10m below pgc aaand 50cm horizontal from 250704
Deegan_Galbraith_250801,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_Galbraith_250801\1_Products""",Linda Deegan,Galbraith Creek,,250801,AC Rd JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,10:50,11:15,100,5.1,80,80,sunny,Rd,TRUE,Galbraith Rock ,
Deegan_GraylingCreek_250704,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_GraylingCreek_250704\1_Products""",Linda Deegan,Grayling Creek,Coldfoot Area,250704,RF JN AC,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,12:57,13:10,110,5,80,80,sunny,Rd,TRUE,AB33,klau mostly 25cm 
Deegan_HappyValley_250719,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_HappyValley_250719\1_Products""",Linda Deegan,Happy Valley,North Slope,250719,AC Rd JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,15:49,16:16,100,5.1,80,80,sunny,JN,TRUE,Happy Valley ,1.4m off from PGC
Deegan_Hershey_250801,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_Hershey_250801\1_Products""",Linda Deegan,Hershey Creek,Toolik Lake Area ,250801,AC JN Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,13:51,14:18,100,5.1,80,80,sunny,Rd,TRUE,TLK2,
Deegan_MilkeCreek_250731,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_MilkeCreek_250731\1_Products""",Linda Deegan,Milke Creek ,North Slope,250731,AC Rd JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,14:15,14:37,100,5.1,80,80,sunny,Rd,TRUE,Happy Valley ,
Deegan_RudyCreek_250731,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_RudyCreek_250731\1_Products""",Linda Deegan,Rudy Creek,North Slope,250731,AC JN Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,16:15,16:50,100,5.1,80,80,sunny,Rd,TRUE,AB45,Klau would not read antenna type
Deegan_Sagwon_250723,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_Sagwon_250723\1_Products""",Linda Deegan,Sagwon Creek,North Slope,250723,AC JN Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,12:59,13:29,100,5.1,80,80,cloudy,Rd,TRUE,Sagwon,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,,,,,,,,,,,
Rocha_Unburn_250726,"""Z:\2025_Work\UAS_Processing\Rocha_Adrian\Unburn\1_Products""",Adrian Rocha,LTREB Unburned Plots,Anaktuvuk Burn,250726,AC Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,11:50,,35,1.7,80,80,,JN,,,Point-based align to 2023 x7
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,,,,,,,,,,,
Zona_GTH89_250712,Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_GTH89_FULL_250712\1_Products,Donatella Zona,Lake 395/GTH89 Thermokarst,South of Toolik Field Station,250712,RF AC Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,14:45,15:50,50,2.5,80,80,cloudy,Rd,TRUE,Galbraith Rock,
